lat,lng,altitude,tower_distance,signal_strength
23.74892239660924,90.37028557791594,50,1,-50.23375344622397
23.748910203616497,90.37035078734874,60,1,-63.70066502025185
23.748919139292614,90.37034911796519,40,1,-32.34750821958608
23.74892296442366,90.3702928627513,40,1,-25.60822265347096
23.748907863072304,90.37034125049861,50,1,-47.04751596147936
23.74891319244902,90.37025987108888,50,1,-53.884980188973174
23.748905732914086,90.37032112573718,40,1,-29.256513571997573
23.748907800191713,90.37034089012786,50,1,-52.913809991270824
23.74891834231451,90.3702643205301,50,1,-54.544295348847136
23.748921989472727,90.37028178620811,40,1,-28.444236906799617
23.748907846040687,90.37027464638469,60,1,-72.90214955307292
23.748907527167514,90.37033923513034,50,1,-41.19703648554772
23.74892338999574,90.3703110471335,60,1,-70.09549388926814
23.7489151526203,90.37025960315856,60,1,-73.2763265240909
23.748910767103737,90.37035225095315,50,1,-57.054662418747114
23.7489164834493,90.37026074759494,60,1,-73.50271741247947
23.74892335619494,90.37030265973314,50,1,-45.80191898262442
23.748916338213792,90.37035523131996,60,1,-72.42748514406166
23.748913014433043,90.37026001037367,60,1,-70.71252115191416
23.748918589309167,90.37035080736067,40,1,-40.687333918256385
23.748909132179307,90.37034721725436,50,1,-52.369290864688956
23.748923006102185,90.37032223202357,60,1,-65.2927842905241
23.74892147627491,90.37027790402881,60,1,-66.79021705171748
23.748916769564463,90.37035465976187,40,1,-31.52963737230863
23.74892327423686,90.37031625190912,60,1,-76.15757499646136
23.74892117607665,90.37027596081991,40,1,-26.397633892954165
23.748920810728105,90.37027384788875,40,1,-27.610940015098397
23.74891346093283,90.3703561022445,60,1,-70.49321236503279
23.74890930276728,90.37034786273229,40,1,-23.981649513733764
23.748907299995988,90.37033773324582,60,1,-75.14573453799933
23.748921520594433,90.37027820912306,40,1,-33.780838177225135
23.748912532006813,90.37026048703515,40,1,-34.38906334073175
23.748922142684734,90.37028312210911,40,1,-32.97465970918818
23.748918024925025,90.37026353017426,50,1,-48.18263228956032
23.748907071198587,90.37033608648407,60,1,-61.76315340888715
23.748910147024187,90.37026517429774,60,1,-66.85327344022717
23.74891973463492,90.37034695565633,50,1,-47.979699501867614
23.748923329865338,90.37031431015006,60,1,-77.65992938182187
23.748919698191674,90.37026870103224,50,1,-48.51545107419323
23.748908816396895,90.37026986485746,40,1,-32.313422319614496
23.748914495525437,90.37025943646225,50,1,-53.02007388926946
23.74890781059447,90.3702748497433,60,1,-77.88956631136483
23.74892289369409,90.3703240566542,60,1,-75.80238193161543
23.748916453348023,90.37035509060516,40,1,-33.323824772779744
